"Software","License","Version CRAN","Version R-Forge","URL","Comment"
"boost","Boost Software
Licence",1.43.0,1.49.0,"http://www.boost.org","Boost C++ library
(mainly header files)"
"clp","EPL",1.14.0,1.14.5,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/Clp.zip","Coin-or linear programming; now provided by BDR, earlier versions made available by clpAPI maintainer via http://www.cs.uni-duesseldorf.de/AG/BI/Software/SyBiL/clpAPI/clp_1.14.0.zip"
"expat","MIT",2.0.1,2.0.1,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","eXpat XML parser; prepared by Brian Ripley"
"fftw","GPL",3.3,3.3,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","C subroutine library for computing the discrete Fourier transform"
"gd",NA,2.0.33,2.0.33,"http://www.libgd.org/Downloads","gd"
"gd64",NA,NULL,NA,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/Win64No_/","64bit prepared by Brian Ripley; currently GDD built manually by Brian"
"gdal","MIT",1.8.1,1.9.0,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","includes gdal, proj, and proj-datumgrid provided by Roger Bivand, see http://spatial.nhh.no/R/; R lib port by Brian Ripley"
"ggobi","Common Public License",2.1.9,2.1.8,"http://www.ggobi.org/downloads/","Open source visualization program for exploring high-dimensional data"
"ggobi64","Common Public License",NA,NA,NA,"Open source visualization program for exploring high-dimensional data"
"glpk","GPL",4.47,4.47,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/glpk32.zip","GNU Linear Programming Kit; prepared by Brian Ripley"
"glpk64","GPL",4.47,4.47,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/glpk64.zip","GNU Linear Programming Kit; prepared by Brian Ripley"
"gmp","GPL",4.3.1,5.0.4,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","GNU Multiple Precision Arithmetic Library"
"graphviz","GPL",2.20.3,2.25,"http://www.graphviz.org/Download_windows.php","Graph Visualization Software"
"graphviz64","GPL",2.25,2.25,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/Win64No_/graphviz64.zip","64bit prepared by Brian Ripley"
"gsl","GPL",1.12,1.15,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","GNU Scientific Library"
"GTK+","LGPL",2.12.9,2.20.1,"http://downloads.sourceforge.net/gladewin32/","gtk+ Framework"
"GTK+64","LGPL",2.16.6,2.20.1,"http://www.gtk.org/download-windows-64bit.html","gtk+ Framework, bundle incl. cairo, pango etc. 64bit"
"ImageMagick","ImageMagick License",6.4.3,6.6.3,"http://www.imagemagick.org/script/binary-releases.php","portable Win32 static at 16 bits-per-pixel, maybe used for 64 bit also as the command line tool is called"
"jags","GPL", 3.0.0, 3.2.0, "http://sourceforge.net/projects/mcmc-jags/files/", "Just Another Gibbs Sampler (bi-arch)"
"Java","Oracle Corporation Binary Code License Agreement",1.6-18,1.6-22,"http://java.com/","Java 6 Software Development Kit"
"Java64","Oracle Corporation Binary Code License Agreement",1.6-18,1.6-22,"http://java.com/","Java 6 Software Development Kit"
"libjpeg","special",8a,8d,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","library and tools for JPEG images, prepared by Brian Ripley"
"libmpfr","GPL",2.4.1,3.1.0,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","GNU multiple-precision floating-point computations with correct rounding, prepared by Brian Ripley"
"libsprng",NA,2.0b,NA,"http://www.stats.ox.ac.uk/pub/Rtools/local.zip","Scalable Parallel Random Number Generators Library, prepared by Brian Ripley"
"libsprng64",NA,2.0b,NA,"http://www.stats.ox.ac.uk/pub/RWin/Win64No_/local64No_.zip","64bit prepared by Brian Ripley"
"libtiff","GPL",3.8.2,3.9.5,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","libtiff prepared by Brian Ripley"
"libxml2","MIT",2.7.3,2.7.8,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","libXML"
"MARK","no license known",6.1,NA,"http://www.phidot.org/software/mark/index.html","MARK binaries by Gary White"
"mysql","GPL",5.0.67,NA,"http://dev.mysql.com/downloads/mysql/#downloads","MySQL "
"netcdf","http://www.unidata.ucar.edu/software/netcdf/copyright.html",4.0.1,4.0.1,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","NetCDF, prepared by Brian Ripley"
"NLopt","LGPL",2.2.3,2.2.4,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/nlopt.zip","Prepared by Jelmer Ypma"
"PostgreSQL","BSD",8.3.4-1,NA,"http://www.postgresql.org/download/windows","PostgreSQL binaries"
"Quantlib","QuantLib License",NA,1.0.1,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/Quantlib.zip","comprehensive software framework for quantitative finance"
"qt","LGPL",4.5.2,4.7.0,"http://www.qtsoftware.com/downloads","qt framework"
"SYMPHONY","CPL",5.2.0,5.4.3,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/symphony32.zip","COIN-OR SYMPHONY"
"SYMPHONY64","CPL",5.2.0,5.4.3,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/symphony64.zip","COIN-OR SYMPHONY, prepared by Brian Ripley"
"udunits2","http://www.unidata.ucar.edu/software/udunits/udunits-2/udunits2.html",1.12.11,1.12.4,"http://www.stats.ox.ac.uk/pub/Rtools/goodies/multilib/local215.zip","udunits, prepared by Brian Ripley"
